"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","20-Jan-2021","       3260.70","       3270.00","       3327.95","       3267.10","       3305.00","       3308.80","       3304.97","    3453446","         11413530807.30","     169490","    1498128","         43.38"
"TCS","EQ","21-Jan-2021","       3308.80","       3305.00","       3309.15","       3262.10","       3274.05","       3273.85","       3281.88","    2778546","          9118852661.70","     134629","    1222458","         44.00"
"TCS","EQ","22-Jan-2021","       3273.85","       3241.90","       3325.00","       3241.90","       3292.20","       3303.10","       3300.02","    3052459","         10073163825.50","     120993","    1419347","         46.50"
"TCS","EQ","25-Jan-2021","       3303.10","       3308.95","       3339.80","       3278.65","       3298.00","       3291.30","       3314.24","    2272887","          7532889906.35","     122553","    1208668","         53.18"
"TCS","EQ","27-Jan-2021","       3291.30","       3300.00","       3306.45","       3227.00","       3263.00","       3261.05","       3265.48","    2786662","          9099782354.05","     175811","    1396514","         50.11"
"TCS","EQ","28-Jan-2021","       3261.05","       3230.00","       3275.00","       3183.80","       3202.95","       3196.55","       3221.23","    3083938","          9934065466.35","     154535","    1689185","         54.77"
"TCS","EQ","29-Jan-2021","       3196.55","       3210.05","       3216.85","       3100.00","       3126.95","       3111.35","       3142.99","    5445659","         17115646045.40","     185207","    3601765","         66.14"
"TCS","EQ","01-Feb-2021","       3111.35","       3100.00","       3165.00","       3044.10","       3150.00","       3139.35","       3098.04","    3985846","         12348318212.80","     280031","    2125201","         53.32"
"TCS","EQ","02-Feb-2021","       3139.35","       3174.00","       3224.00","       3150.00","       3195.00","       3203.45","       3197.36","    2881837","          9214282428.10","     114024","    1461083","         50.70"
"TCS","EQ","03-Feb-2021","       3203.45","       3213.00","       3236.00","       3162.65","       3200.00","       3200.05","       3209.50","    2505866","          8042581723.80","     116096","     916858","         36.59"
"TCS","EQ","04-Feb-2021","       3200.05","       3216.05","       3237.85","       3176.00","       3185.50","       3188.45","       3198.51","    2057261","          6580160004.75","     105804","     994481","         48.34"
"TCS","EQ","05-Feb-2021","       3188.45","       3198.95","       3205.85","       3129.00","       3160.50","       3157.95","       3154.91","    2366135","          7464932897.55","     143150","     992928","         41.96"
"TCS","EQ","08-Feb-2021","       3157.95","       3189.50","       3226.00","       3155.15","       3219.00","       3214.10","       3191.08","    2526592","          8062547697.85","     155790","    1160977","         45.95"
"TCS","EQ","09-Feb-2021","       3214.10","       3195.00","       3245.80","       3164.00","       3176.00","       3176.90","       3212.70","    2658751","          8541775943.25","     171299","    1305574","         49.10"
"TCS","EQ","10-Feb-2021","       3176.90","       3185.00","       3219.40","       3157.30","       3215.50","       3213.30","       3197.06","    2127983","          6803289931.00","     115813","     713331","         33.52"
